,model_config.solver_config.margin,training_config.optimizer,training_config.loss_config.name,training_config.optimizer_config.lr,training_config.half_lr_every,model_config.solver_config.lambda_val,model_config.cost_generator_config.__import__,eval_idf1,job_restarts,eval_idf1__std
28,0.16,RMSProp,MetaIOU,0.002,4000.0,24.0,config/michal/svm_lifted.yaml,0.7304226009806211,1,
14,0.14,Adam,HOTA_dense,0.0004,6300.0,100.0,config/michal/svm_lifted.yaml,0.7238851272472566,1,
39,0.18,RMSProp,MetaIOU,0.03,3100.0,40.0,config/michal/svm_lifted.yaml,0.7133317767919682,1,
38,0.18,Adam,MetaIOU,0.001,5100.0,50.0,config/michal/svm_lifted.yaml,0.6996030819519029,1,
10,0.13,Adam,MetaIOU,0.001,5000.0,50.0,config/michal/svm_lifted.yaml,0.691585291781526,1,
9,0.13,Adam,HOTA_dense,0.004,5000.0,46.0,config/michal/svm_lifted.yaml,0.690170441279477,1,
53,0.2,RMSProp,HOTA_dense,0.01,5000.0,40.0,config/michal/svm_lifted.yaml,0.6897968713518562,2,0.012679383795266614
15,0.14,Adam,MetaIOU,0.006,5000.0,9.0,config/michal/graph_features.yaml,0.6896100863880458,1,
69,0.24,Adam,MetaIOU,0.004,3000.0,20.0,config/michal/svm_lifted.yaml,0.6529678232849204,1,
25,0.16,Adam,MetaIOU,0.001,4600.0,6.0,config/michal/graph_features.yaml,0.6513191688069111,1,
20,0.15,RMSProp,HOTA_dense,0.004,4300.0,50.0,config/michal/svm_lifted.yaml,0.6494513191688069,1,
78,0.27,Adam,MetaIOU,0.003,6000.0,50.0,config/michal/svm_lifted.yaml,0.6492014569907537,1,
72,0.24,SGD,HOTA_dense,0.1,2000.0,90.0,config/michal/graph_features.yaml,0.6364952594460791,1,
34,0.17,RMSProp,MetaIOU,0.001,2700.0,20.0,config/michal/graph_features.yaml,0.6294307196562836,1,
79,0.27,RMSProp,HOTA_dense,0.002,8000.0,90.0,config/michal/graph_features.yaml,0.6285314032220406,1,
44,0.19,Adam,HOTA_dense,0.001,3000.0,30.0,config/michal/graph_features.yaml,0.6259164137286949,1,
74,0.26,Adam,HOTA_dense,0.005,7000.0,30.0,config/michal/graph_features.yaml,0.616950735465795,1,
33,0.17,RMSProp,HOTA_dense,0.004,3000.0,50.0,config/michal/svm_lifted.yaml,0.6165275753166619,2,0.012477175716908808
40,0.18,RMSProp,MetaIOU,0.03,4000.0,20.0,config/michal/svm_lifted.yaml,0.6143357459724492,3,0.10449909285476919
7,0.11,RMSProp,MetaIOU,0.002,5600.0,40.0,config/michal/graph_features.yaml,0.6091991594676629,1,
61,0.2,SGD,MetaIOU,0.08,3000.0,70.0,config/michal/graph_features.yaml,0.6063973850105067,1,
6,0.11,RMSProp,HOTA_dense,0.01,5000.0,60.0,config/michal/graph_features.yaml,0.6044643691043243,1,
83,0.3,Adam,MetaIOU,0.0007,4000.0,10.0,config/michal/graph_features.yaml,0.6032220406257296,1,
